City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
82,Narsaq,60.92,-46.05,28.4,74,75,3.36,GL,broken clouds
83,Komsomolskiy,40.43,71.72,50.0,56,77,4.7,UZ,mist
84,Nikolskoye,59.7,30.79,48.2,87,90,13.42,RU,overcast clouds
85,Merauke,-8.47,140.33,76.12,87,61,5.57,ID,broken clouds
86,Nizwa,22.93,57.53,67.57,78,17,2.08,OM,few clouds
87,Hasaki,35.73,140.83,57.2,93,75,2.24,JP,mist
88,Torbay,47.67,-52.73,46.99,87,75,33.33,CA,light intensity shower rain
89,Singapore,1.29,103.85,78.8,88,75,6.4,SG,broken clouds
90,Sakaiminato,35.55,133.23,55.4,100,75,6.93,JP,broken clouds
91,Yellowknife,62.46,-114.35,12.99,85,90,5.82,CA,light snow
92,Victoria,22.29,114.16,78.01,57,9,1.99,HK,clear sky
93,Lorengau,-2.02,147.27,81.95,69,23,7.61,PG,few clouds
94,Kapaa,22.08,-159.32,82.4,78,40,13.87,US,scattered clouds
95,Mar Del Plata,-38.0,-57.56,71.6,60,0,3.36,AR,clear sky
96,Faanui,-16.48,-151.75,78.93,79,70,12.01,PF,broken clouds
97,Muhos,64.81,25.99,41.0,60,0,20.8,FI,clear sky
98,Busselton,-33.65,115.33,55.0,66,50,3.2,AU,scattered clouds
99,Pevek,69.7,170.31,16.29,96,99,2.62,RU,overcast clouds
100,Tiznit,29.58,-9.5,63.39,68,17,0.98,MA,few clouds
101,Svetlogorsk,52.63,29.73,47.08,91,83,6.55,BY,broken clouds
102,Bengkulu,-3.8,102.27,75.83,85,84,3.74,ID,broken clouds
103,Nassau,40.75,-73.58,73.99,38,1,8.05,US,clear sky
104,Devarkonda,16.7,78.93,71.08,84,13,6.04,IN,few clouds
105,Hami,42.8,93.45,36.19,70,68,4.07,CN,broken clouds
106,Esperance,-33.87,121.9,55.4,100,7,8.05,AU,clear sky
107,Bredasdorp,-34.53,20.04,62.6,51,0,14.99,ZA,clear sky
108,Camacha,33.08,-16.33,64.4,82,20,2.24,PT,few clouds
109,Jamestown,42.1,-79.24,69.01,34,1,5.82,US,clear sky
110,Cobija,-11.03,-68.77,95.58,32,100,1.79,BO,overcast clouds
111,Hilo,19.73,-155.09,80.01,78,90,9.17,US,overcast clouds
112,Adony,47.12,18.86,43.0,93,0,2.24,HU,mist
113,Harper,4.38,-7.72,79.66,84,95,5.41,LR,overcast clouds
114,Meulaboh,4.14,96.13,76.32,86,100,3.71,ID,overcast clouds
115,Araouane,18.9,-3.53,84.42,14,0,9.64,ML,clear sky
116,Samaipata,-18.15,-63.87,76.23,39,11,10.29,BO,few clouds
117,Bonavista,48.65,-53.11,45.0,93,100,10.29,CA,overcast clouds
118,Comarapa,-17.9,-64.48,76.53,35,0,12.08,BO,clear sky
119,Bandarbeyla,9.49,50.81,76.21,85,66,14.47,SO,broken clouds
120,Gwanda,-20.93,29.0,82.69,37,6,5.14,ZW,clear sky
121,Aklavik,68.22,-135.01,33.8,55,75,4.7,CA,broken clouds
122,Port Augusta,-32.5,137.77,50.0,93,0,3.36,AU,clear sky
123,Hobart,-42.88,147.33,45.0,81,20,8.05,AU,few clouds
124,Guia De Isora,28.21,-16.78,70.0,60,20,4.7,ES,few clouds
125,Las Palmas,28.42,-14.01,69.8,77,20,4.7,ES,few clouds
126,Mayo,38.89,-76.51,70.0,55,1,6.93,US,clear sky
127,Qaanaaq,77.48,-69.36,-13.31,71,0,8.39,GL,clear sky
128,Tiksi,71.69,128.87,-8.05,91,0,1.86,RU,clear sky
129,Khatanga,71.97,102.5,-4.34,87,9,12.75,RU,clear sky
130,North Bend,43.41,-124.22,53.6,71,90,14.99,US,overcast clouds
131,Nieves,15.33,120.95,77.0,88,90,9.17,PH,moderate rain
132,Ostrovnoy,68.05,39.51,35.24,86,100,20.07,RU,overcast clouds
133,Santa Fe,-31.63,-60.7,90.0,29,2,5.01,AR,clear sky
134,Chifeng,42.27,118.96,23.79,65,0,4.7,CN,clear sky
135,Caxito,-8.58,13.66,78.8,83,75,8.05,AO,broken clouds
136,Plouzane,48.38,-4.62,57.2,100,90,9.17,FR,overcast clouds
137,Mizdah,31.45,12.98,56.53,78,0,6.38,LY,clear sky
138,Amapa,1.0,-52.0,79.93,78,100,4.0,BR,moderate rain
139,Lillooet,50.69,-121.94,41.0,48,90,8.05,CA,overcast clouds
140,Muravlenko,63.79,74.52,33.51,99,100,8.75,RU,overcast clouds
141,Tuktoyaktuk,69.45,-133.04,26.6,79,75,21.92,CA,light snow
142,Vanavara,60.34,102.28,14.09,97,100,3.29,RU,overcast clouds
143,Dukat,62.55,155.55,-6.03,90,97,3.67,RU,overcast clouds
144,Pitimbu,-7.47,-34.81,80.6,78,40,17.22,BR,scattered clouds
145,Mount Gambier,-37.83,140.77,39.2,93,0,4.7,AU,clear sky
146,Mbanza-Ngungu,-5.25,14.87,70.74,97,98,3.76,CD,overcast clouds
147,Lalawigan,11.59,125.47,76.26,83,99,1.97,PH,overcast clouds
148,Tokomaru,-40.47,175.5,64.99,87,91,5.99,NZ,overcast clouds
149,Hofn,64.25,-15.21,41.76,83,100,11.99,IS,overcast clouds
150,Vaitape,-16.52,-151.75,79.77,77,72,11.92,PF,broken clouds
151,Taltal,-25.4,-70.48,63.27,66,24,5.73,CL,few clouds
152,Bangassou,4.74,22.82,69.98,96,100,1.57,CF,overcast clouds
153,Taoudenni,22.68,-3.98,85.95,14,62,11.12,ML,broken clouds
154,Bedesa,8.9,40.78,62.92,80,91,2.68,ET,overcast clouds
155,Puerto Gaitan,4.31,-72.08,88.11,60,46,6.8,CO,moderate rain
156,Tilichiki,60.47,166.1,17.65,94,0,7.7,RU,clear sky
157,Greensburg,40.3,-79.54,71.6,35,1,0.85,US,clear sky
158,Nyaunglebin,17.95,96.73,73.15,92,0,3.8,MM,light rain
159,Ialibu,-6.28,143.99,57.2,93,40,2.01,PG,scattered clouds
160,Juan Aldama,24.29,-103.39,73.85,20,8,3.11,MX,clear sky
161,Mansa,29.98,75.38,61.56,28,0,0.51,IN,clear sky
162,Fairbanks,64.84,-147.72,26.01,94,100,3.06,US,overcast clouds
163,Imbituba,-28.24,-48.67,75.2,60,20,14.99,BR,few clouds
164,Nishihara,26.18,127.76,75.2,100,1,3.36,JP,clear sky
165,Salinopolis,-0.61,-47.36,82.81,75,25,15.61,BR,scattered clouds
166,Bloemfontein,-29.12,26.21,71.6,35,0,8.05,ZA,clear sky
167,Oussouye,12.48,-16.55,84.2,89,0,2.24,SN,clear sky
168,Altamira,-3.2,-52.21,87.8,62,40,6.93,BR,scattered clouds
169,Chokurdakh,70.63,147.92,2.44,95,100,5.7,RU,overcast clouds
170,Ocampo,21.65,-101.5,71.46,22,80,5.35,MX,broken clouds
171,Carroll,39.55,-77.02,75.2,33,1,6.93,US,clear sky
172,Alice,27.75,-98.07,82.4,54,40,4.7,US,scattered clouds
173,Oxford,51.75,-1.26,50.0,93,55,4.7,GB,broken clouds
174,Muli,2.92,73.57,83.91,70,88,7.9,MV,overcast clouds
175,Kamaishi,39.27,141.88,55.8,80,31,6.13,JP,scattered clouds
176,Diffa,13.32,12.61,74.98,24,0,8.88,NE,clear sky
177,Okhotsk,59.38,143.3,10.44,89,94,14.81,RU,overcast clouds
178,Karpogory,64.0,44.45,35.15,96,100,9.75,RU,light rain
179,Ashoknagar,24.57,77.72,62.92,32,0,2.48,IN,clear sky
180,Sarh,9.14,18.39,78.8,78,0,2.21,TD,clear sky
181,Gat,31.61,34.76,66.99,75,59,5.95,IL,broken clouds
182,Sisimiut,66.94,-53.67,15.49,85,99,14.76,GL,overcast clouds
183,Port Elizabeth,-33.92,25.57,64.4,93,1,8.05,ZA,clear sky
