City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Santa Fe,AR,90.0,clear sky,-31.63,-60.7,Conquistador Hotel
135,Caxito,AO,78.8,broken clouds,-8.58,13.66,
138,Amapa,BR,79.93,moderate rain,1.0,-52.0,
144,Pitimbu,BR,80.6,scattered clouds,-7.47,-34.81,Reserva do Abiaí
146,Mbanza-Ngungu,CD,70.74,overcast clouds,-5.25,14.87,Hotel Full Business
147,Lalawigan,PH,76.26,overcast clouds,11.59,125.47,Palms Apartment
148,Tokomaru,NZ,64.99,overcast clouds,-40.47,175.5,
150,Vaitape,PF,79.77,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
151,Taltal,CL,63.27,few clouds,-25.4,-70.48,Residencial Karime
152,Bangassou,CF,69.98,overcast clouds,4.74,22.82,
153,Taoudenni,ML,85.95,broken clouds,22.68,-3.98,
154,Bedesa,ET,62.92,overcast clouds,8.9,40.78,
155,Puerto Gaitan,CO,88.11,moderate rain,4.31,-72.08,Brisas del Yucao
157,Greensburg,US,71.6,clear sky,40.3,-79.54,Courtyard by Marriott Pittsburgh Greensburg
158,Nyaunglebin,MM,73.15,light rain,17.95,96.73,Royal Motel
160,Juan Aldama,MX,73.85,clear sky,24.29,-103.39,Hotel Morales
161,Mansa,IN,61.56,clear sky,29.98,75.38,STARiHOTEL Mansa
163,Imbituba,BR,75.2,few clouds,-28.24,-48.67,Praia Hotel Imbituba
164,Nishihara,JP,75.2,clear sky,26.18,127.76,Minshuku Agaihama
165,Salinopolis,BR,82.81,scattered clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
166,Bloemfontein,ZA,71.6,clear sky,-29.12,26.21,Protea Hotel by Marriott Bloemfontein
167,Oussouye,SN,84.2,clear sky,12.48,-16.55,Auberge du Routard
168,Altamira,BR,87.8,scattered clouds,-3.2,-52.21,Requinte Hotel
170,Ocampo,MX,71.46,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
171,Carroll,US,75.2,clear sky,39.55,-77.02,Best Western Westminster Hotel
172,Alice,US,82.4,scattered clouds,27.75,-98.07,Holiday Inn Express & Suites Alice
174,Muli,MV,83.91,overcast clouds,2.92,73.57,Medhufushi Island Resort
176,Diffa,NE,74.98,clear sky,13.32,12.61,ProDAF/Diffa
179,Ashoknagar,IN,62.92,clear sky,24.57,77.72,Hotel Rajshree
180,Sarh,TD,78.8,clear sky,9.14,18.39,Hôtel des Chasses
181,Gat,IL,66.99,broken clouds,31.61,34.76,OlusHome
183,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
186,Namatanai,PG,81.68,broken clouds,-3.67,152.43,Namatanai Hotel
187,Waingapu,ID,79.68,overcast clouds,-9.66,120.26,Pondok Wisata Elim
188,Comodoro Rivadavia,AR,66.2,clear sky,-45.87,-67.5,Austral Hotel
190,Himensulan,PH,77.0,overcast clouds,10.6,124.28,Mangodlong Paradise Beach Resort
192,Acari,PE,73.04,scattered clouds,-15.43,-74.62,Hospedaje Ximens
193,Buenos Aires,AR,77.0,few clouds,-34.61,-58.38,Gran Hotel Argentino
194,Ionia,US,71.6,clear sky,42.99,-85.07,"American Inn & Suites Ionia, MI"
195,Tabou,CI,78.85,light rain,4.42,-7.35,hotêl doufoulougou
201,Tsogni,GA,76.12,light rain,-2.79,10.1,
203,Isangel,VU,80.89,clear sky,-19.55,169.27,Volcano Sea View Tree House
205,Puerto Leguizamo,CO,86.22,light rain,-0.19,-74.78,la casona de juancho
206,Kaili,ID,68.88,overcast clouds,-3.46,120.21,
208,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
209,Santa Cruz Cabralia,BR,78.8,scattered clouds,-16.28,-39.02,Portobali Hotel
210,Los Llanos De Aridane,ES,68.0,few clouds,28.66,-17.92,Valle Aridane
213,Hambantota,LK,79.14,light rain,6.12,81.12,Bungalow 63
215,Ambilobe,MG,74.35,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
217,Nantucket,US,64.4,clear sky,41.28,-70.1,Jared Coffin House
222,Shimoda,JP,60.01,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
223,San Quintin,MX,65.82,clear sky,30.48,-115.95,Old Mill Hotel
224,Innisfail,AU,78.17,few clouds,-17.53,146.03,Moondarra Motel
227,Laguna,US,62.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
231,Katsuura,JP,60.8,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
232,Puerto Madero,MX,86.0,broken clouds,14.72,-92.42,Hotel La Central
233,Kaeo,NZ,71.01,scattered clouds,-35.1,173.78,Bushido Lodge
234,Cockburn Town,TC,78.8,overcast clouds,21.46,-71.14,Osprey Beach Hotel
236,Anan,JP,64.4,broken clouds,33.92,134.65,Royal Garden Hotel
237,Gamba,GA,77.11,light rain,-2.65,10.0,
238,Dingle,PH,73.4,overcast clouds,11.0,122.67,SEGAYA PROPERTY
240,Palmer,US,77.0,scattered clouds,42.16,-72.33,Wedgewood Motel
241,Itumbiara,BR,88.74,scattered clouds,-18.42,-49.22,Itumbiara Palace Hotel
242,Sao Gabriel Da Cachoeira,BR,87.8,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
243,Frontera,MX,82.99,clear sky,26.93,-101.45,Fiesta Inn Monclova
244,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
246,Sao Filipe,CV,79.7,light rain,14.9,-24.5,Tortuga B&B
247,Avera,US,80.6,scattered clouds,33.19,-82.53,
249,Auki,SB,82.31,few clouds,-8.77,160.7,Auki Motel
251,Wenling,CN,64.0,broken clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
252,Tibu,CO,86.5,broken clouds,8.64,-72.74,JOSE GREGORIO MONCADA
255,Byron Bay,AU,64.0,light rain,-28.65,153.62,Backpackers Inn on the Beach
256,Talara,PE,67.12,scattered clouds,-4.58,-81.27,Hostal Oro Negro
258,Letlhakane,BW,87.58,clear sky,-21.42,25.58,Motswedi Hotel P650
259,Coquimbo,CL,62.6,clear sky,-29.95,-71.34,Hotel San Juan
260,Cloquet,US,64.4,scattered clouds,46.72,-92.46,Super 8 by Wyndham Cloquet
261,Fayaoue,NC,76.35,clear sky,-20.65,166.53,Chez Dydyce Guesthouse
264,Atar,MR,87.04,overcast clouds,20.52,-13.05,Oumou Elghoura
267,Kalmunai,LK,78.75,moderate rain,7.42,81.82,VS Villa
268,Guerrero Negro,MX,70.47,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
